cellid,lat,lon,home,high_dens,mid_dens,low_dens,work,transport
6070,45.48466140000001,9.2202106,1,1,0,0,0,0
6071,45.484655599999996,9.2232176,1,1,0,0,0,0
6072,45.4846496,9.2262246,1,1,0,0,0,0
6073,45.4846436,9.2292316,1,1,0,0,0,0
6074,45.4846376,9.2322386,1,1,0,0,0,0
6075,45.4846314,9.2352458,1,1,0,0,0,1
6076,45.48462500000001,9.2382532,1,0,1,0,1,1
6077,45.4846186,9.2412602,1,0,1,0,0,0
6078,45.48461239999999,9.2442672,1,0,1,0,1,0
6079,45.484606,9.2472742,0,0,1,0,1,0
6080,45.4845992,9.2502812,0,0,0,1,1,1
6081,45.4845926,9.2532882,0,0,0,1,1,0
6082,45.4845862,9.2562952,1,0,0,1,0,0
6163,45.486815,9.199168,1,1,0,0,1,0
6164,45.486810000000006,9.2021752,1,1,0,0,1,0
6165,45.4868046,9.205182599999999,0,1,0,0,1,1
6166,45.486799000000005,9.208189599999999,1,1,0,0,1,0
6167,45.4867936,9.2111968,1,1,0,0,0,0
6168,45.4867878,9.2142042,1,1,0,0,1,0
6169,45.486782399999996,9.217211599999999,1,1,0,0,0,1
6170,45.4867766,9.2202186,1,1,0,0,1,0
6171,45.4867706,9.2232256,1,1,0,0,0,0
6172,45.4867646,9.2262328,1,1,0,0,0,0
6173,45.486758599999995,9.2292402,1,1,0,0,0,0
6174,45.4867526,9.2322472,1,1,0,0,0,0
6175,45.4867466,9.235254399999999,1,0,1,0,0,1
6176,45.48674040000001,9.2382618,1,0,1,0,0,1
6177,45.486734,9.2412692,1,0,1,0,0,0
6178,45.486727599999995,9.2442762,1,0,1,0,1,0
6179,45.4867212,9.247283199999998,1,0,1,0,0,1
6180,45.4867144,9.2502904,0,0,0,1,1,1
6181,45.48670800000001,9.2532978,0,0,0,1,1,1
6182,45.4867012,9.256304799999999,1,0,0,1,0,1
